date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:06:12	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Jan%202022%2012:06:10%20GMT	http://openedappsauthen.com/robots.txt		(from )
20:06:13	8528/8528	---M--	200	added ('OK')	text/html	date:Mon,%2010%20Jan%202022%2016:41:21%20GMT	http://openedappsauthen.com/	C:/My%20Web%20Sites/Newbtcliink/openedappsauthen.com/index.html	(from )
20:06:14	73271/73271	---M--	200	added ('OK')	text/css	date:Sun,%2021%20Nov%202021%2009:05:48%20GMT	http://openedappsauthen.com/assets/vendor/bootstrap-icons/bootstrap-icons.css	C:/My%20Web%20Sites/Newbtcliink/openedappsauthen.com/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from http://openedappsauthen.com/)
20:06:14	63781/63781	---M--	200	added ('OK')	text/css	date:Sun,%2021%20Nov%202021%2009:05:48%20GMT	http://openedappsauthen.com/assets/vendor/boxicons/css/boxicons.min.css	C:/My%20Web%20Sites/Newbtcliink/openedappsauthen.com/assets/vendor/boxicons/css/boxicons.min.css	(from http://openedappsauthen.com/)
20:06:16	163873/163873	---M--	200	added ('OK')	text/css	date:Sun,%2021%20Nov%202021%2009:05:48%20GMT	http://openedappsauthen.com/assets/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/Newbtcliink/openedappsauthen.com/assets/vendor/bootstrap/css/bootstrap.min.css	(from http://openedappsauthen.com/)
20:06:16	13785/13785	---M--	200	added ('OK')	text/css	date:Sun,%2021%20Nov%202021%2009:05:48%20GMT	http://openedappsauthen.com/assets/vendor/glightbox/css/glightbox.min.css	C:/My%20Web%20Sites/Newbtcliink/openedappsauthen.com/assets/vendor/glightbox/css/glightbox.min.css	(from http://openedappsauthen.com/)
20:06:17	15563/15563	---M--	200	added ('OK')	text/css	date:Sun,%2021%20Nov%202021%2009:05:48%20GMT	http://openedappsauthen.com/assets/vendor/swiper/swiper-bundle.min.css	C:/My%20Web%20Sites/Newbtcliink/openedappsauthen.com/assets/vendor/swiper/swiper-bundle.min.css	(from http://openedappsauthen.com/)
20:06:17	23927/23927	---M--	200	added ('OK')	text/css	date:Sun,%2021%20Nov%202021%2009:05:48%20GMT	http://openedappsauthen.com/assets/css/style.css	C:/My%20Web%20Sites/Newbtcliink/openedappsauthen.com/assets/css/style.css	(from http://openedappsauthen.com/)
20:06:18	8528/8528	---M--	200	added ('OK')	text/html	date:Mon,%2010%20Jan%202022%2016:41:21%20GMT	http://openedappsauthen.com/index.html	C:/My%20Web%20Sites/Newbtcliink/openedappsauthen.com/index-2.html	(from http://openedappsauthen.com/)
20:06:21	179098/179098	---M--	200	added ('OK')	text/html	date:Sun,%2016%20Jan%202022%2006:40:45%20GMT	http://openedappsauthen.com/access/point/	C:/My%20Web%20Sites/Newbtcliink/openedappsauthen.com/access/point/index.html	(from http://openedappsauthen.com/)
20:06:21	4958/4958	---M--	200	added ('OK')	application/javascript	date:Sun,%2021%20Nov%202021%2009:05:48%20GMT	http://openedappsauthen.com/assets/vendor/purecounter/purecounter.js	C:/My%20Web%20Sites/Newbtcliink/openedappsauthen.com/assets/vendor/purecounter/purecounter.js	(from http://openedappsauthen.com/)
20:06:28	45700/45700	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Jan%202022%2015:27:12%20GMT	http://openedappsauthen.com/assets/img/undraw_Bitcoin_P2P_re_1xqa.png	C:/My%20Web%20Sites/Newbtcliink/openedappsauthen.com/assets/img/undraw_Bitcoin_P2P_re_1xqa.png	(from http://openedappsauthen.com/)
